"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"170028527993749569","187.94279121279362","7.382421491804089","","","","","","","","Superphot LSST","2026-02-25T14:58:55","","",""
"170028527011758122","187.00685189213686","8.733937262083133","","","","","","","","Superphot LSST","2026-02-25T14:58:53","","",""
"170028532033912925","188.2069223035358","7.552868055658492","","","","","","","","Superphot LSST","2026-02-25T14:58:51","","",""
"170050505205612651","187.43478072904728","8.00810384093348","","","","","","","","Superphot LSST","2026-02-25T14:58:47","","",""
"170028529692442638","185.97552524544196","8.652803172936887","","","","","","","","Superphot LSST","2026-02-25T14:58:45","","",""
"170028528545300647","187.489788779119","6.114952388415527","","","","","","","","Superphot LSST","2026-02-25T14:58:43","","",""
"170028528620273678","186.6215086011166","8.319275504205857","","","","","","","","Superphot LSST","2026-02-25T14:58:40","","",""
"313831458514927674","64.21548018418626","-46.57475019569473","","","","","","","","Superphot LSST","2026-02-25T10:09:08","","",""
"313941448959459395","65.0805855232484","-48.03971324523574","","","","","","","","Superphot LSST","2026-02-25T10:09:00","","",""
"313871013802672296","63.41455139800385","-47.21533551511875","","","","","","","","Superphot LSST","2026-02-25T10:08:46","","",""
"313871014435488133","58.60926232422333","-50.33989820954439","","","","","","","","Superphot LSST","2026-02-25T10:08:40","","",""
"313936964384981047","60.96360029338809","-48.29232569877016","","","","","","","","Superphot LSST","2026-02-25T10:08:19","","",""
"313980945119576112","59.67679665877341","-48.521142148391824","","","","","","","","Superphot LSST","2026-02-25T10:07:56","","",""
"313928194157183045","57.37263970808782","-49.32167881134497","","","","","","","","Superphot LSST","2026-02-25T10:07:47","","",""
"313756671825412125","64.17443044395706","-48.65110866304198","","","","","","","","Superphot LSST","2026-02-25T10:07:42","","",""
"314051320414732370","63.86017524788406","-48.173274005372555","","","","","","","","Superphot LSST","2026-02-25T10:07:19","","",""
"313761042284412983","57.42155754341558","-48.26929753368646","","","","","","","","Superphot LSST","2026-02-25T10:07:10","","",""
"313765480704245975","62.35199080392812","-46.98790628917614","","","","","","","","Superphot LSST","2026-02-25T10:06:43","","",""
"313945770525982796","63.59250658893023","-47.48337136182816","","","","","","","","Superphot LSST","2026-02-25T10:06:29","","",""
"313893022930567256","60.72080070426176","-50.07536991527731","","","","","","","","Superphot LSST","2026-02-25T10:06:20","","",""
"313853497671417905","63.96113740660605","-47.32337231949412","","","","","","","","Superphot LSST","2026-02-25T10:06:12","","",""
"313831458450440303","64.02619457289396","-49.20988993884758","","","","","","","","Superphot LSST","2026-02-25T10:06:05","","",""
"313897383783038984","62.432525414476345","-48.755529827794","","","","","","","","Superphot LSST","2026-02-25T10:05:54","","",""
"170019696437887107","63.495399241183385","-47.2800323117195","","","","","","","","Superphot LSST","2026-02-25T10:05:43","","",""
