name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag
15DYSEcaj,2.1365572513168445,20.119,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEcaj|*YSE-PZ*>,674.A,259.6555904638096,32.58698442905527,,,---,0.325855,0.9999999999897484,44.99116286306311,decals,-21.764887058480017,0.325855,9907732629948804,True,-20.804650423285928
15EYSEcge,15.233557251318416,20.253,<https://ziggy.ucolick.org/yse/transient_detail/13AYSEaoy|*YSE-PZ*>,618.A,211.74611883579445,25.188495671688816,,,---,0.260323,0.9996474177197321,0.20199125548820338,decals,-21.40994815504376,0.260323,9906630708696642,True,-20.16551524177862
15EYSEcey,30.051557251317718,20.237000000000002,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcey|*YSE-PZ*>,674.D,257.5365371070046,35.12203705475271,,,---,0.439056,0.9999999999999822,0.7744677930940963,decals,-19.896587418511313,0.439056,9907733415398102,True,-21.357126335621306
15EYSEcgw,31.05755725131894,16.689,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcgw|*YSE-PZ*>,719.A,245.9765428486337,38.26430348032445,,,---,0.108546,0.9999999999968212,19.983893166035347,decals,-17.60729522689786,0.108546,9907734399290830,True,-21.774438510014747
15CYSEbrh,24.241557251320046,13.767,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbrh|*YSE-PZ*>,674.D,146.39345697495213,34.47360015723164,,,---,0.788101,0.8959402245238417,0.17771625182303627,decals,-22.023634708363723,0.788101,9907733235960833,True,-29.126064050736264
15EYSEcgg,15.242557251316612,20.811999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcgg|*YSE-PZ*>,749.E,208.4199399721487,46.15890477787514,,,---,1.033045,0.9999999999946274,2.261703013636237,decals,-20.721112833807858,1.033045,9907736631184532,True,-22.664602257350253
15DYSEbyk,37.04455725131993,19.468,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbyk|*YSE-PZ*>,527.C,213.65797061743012,9.895190384610192,,,---,0.57321,0.9999999999999789,0.23972407063066997,decals,-19.491071395066413,0.57321,9906625231719584,True,-22.72247319667936
15EYSEcit,8.076557251319173,20.358999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcit|*YSE-PZ*>,719.A,247.5504647750528,38.14481617337168,,,---,0.775657,0.999999999999969,0.3194626679490963,decals,-20.210771496567464,0.775657,9907734399618133,True,-22.499296059819024
15CYSEbot,24.162557251314865,20.399,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbot|*YSE-PZ*>,527.C,201.3640551838492,31.118561388508596,,,---,0.72929,0.9999999999999927,0.14519672281360801,decals,-22.589720552073832,0.72929,9906632622933841,True,-22.324244788645615
15DYSEbzu,16.54955725131731,19.555,<https://ziggy.ucolick.org/yse/transient_detail/15DYSEbzu|*YSE-PZ*>,719.A,215.60690798161167,12.775573663579552,,,---,0.345773,0.9999999999886675,34.27412050951662,decals,-20.29685197227077,0.345773,9906626250932387,True,-21.502169311246153
